student_id,career_goal,recommended_courses
1011,Project Management,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1012,Data Science,"Python for Data Science, Big Data and Spark, Statistical Data Analysis, Data Wrangling with Pandas, Database Optimization Techniques, Healthcare Data Analytics"
1013,Project Management,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1014,Marketing,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1015,Cybersecurity,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1016,AI & Robotics,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1017,Marketing,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1018,Project Management,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1019,Cybersecurity,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1020,Project Management,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1021,UI/UX Design,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1022,Business,"Business Intelligence with Power BI, Business Negotiation Strategies, Pharmaceutical Business Strategy"
1023,Finance,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1024,Software Engineering,Software Testing and Automation
1025,Project Management,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1026,Software Engineering,Software Testing and Automation
1027,Healthcare,Healthcare Data Analytics
1028,Project Management,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1029,Business,"Business Intelligence with Power BI, Business Negotiation Strategies, Pharmaceutical Business Strategy"
1030,Software Engineering,Software Testing and Automation
1031,Marketing,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1032,Project Management,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1033,Data Science,"Python for Data Science, Big Data and Spark, Statistical Data Analysis, Data Wrangling with Pandas, Database Optimization Techniques, Healthcare Data Analytics"
1034,Finance,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1035,Business,"Business Intelligence with Power BI, Business Negotiation Strategies, Pharmaceutical Business Strategy"
1036,Software Engineering,Software Testing and Automation
1037,Business,"Business Intelligence with Power BI, Business Negotiation Strategies, Pharmaceutical Business Strategy"
1038,Cybersecurity,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1039,Finance,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1040,Marketing,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
