student_id,gpa,attendance,course_load_per_term,study_hours_per_week,course_difficulty_experience,highest_degree,career_goal,delivery_mode,fail_rate,major_x,enrollment_status,student_difficulty_rating,prerequisite_level,completion_status,weekly_study_hours_required,average_grade,study_hours_logged
4018,2.35,61,3,9,Easy,Diploma,Software Engineering,In-person,0.28,CS,Full-time,5,Basic,Ongoing,12,61.34,8
4019,3.06,94,6,20,Easy,Diploma,UI/UX Design,In-person,0.03,Business,Part-time,9,Advanced,Dropped,10,55.03,23
4020,3.06,72,5,7,Easy,Master,Cybersecurity,Hybrid,0.42,Design,Part-time,4,Advanced,Completed,5,55.7,9
4021,3.27,63,6,12,Moderate,Master,Finance,Online,0.4,Design,Part-time,8,Advanced,Completed,15,78.59,14
4022,3.7,87,5,7,Moderate,Master,Healthcare Informatics,In-person,0.35,Finance,Part-time,7,None,Completed,9,85.03,8
4023,3.45,82,4,21,Easy,Bachelor,Healthcare Informatics,Online,0.08,Business,Part-time,6,Intermediate,Ongoing,7,76.6,15
4024,3.22,77,6,7,Moderate,Bachelor,Software Engineering,Online,0.07,Business,Part-time,5,Basic,Ongoing,5,87.73,13
4025,3.44,80,3,12,Hard,Bachelor,UI/UX Design,In-person,0.31,Business,Full-time,4,Intermediate,Dropped,11,75.32,21
4026,2.65,98,6,14,Easy,Diploma,UI/UX Design,Online,0.07,Business,Part-time,2,Intermediate,Completed,17,81.23,22
4027,2.72,73,3,19,Moderate,Master,AI & Robotics,Online,0.39,Business,Part-time,5,None,Ongoing,11,50.13,11
4028,2.46,72,3,18,Easy,Bachelor,Healthcare Informatics,Online,0.17,Finance,Part-time,8,Intermediate,Dropped,8,84.33,22
4029,2.59,79,3,5,Hard,Master,Software Engineering,Hybrid,0.07,Finance,Full-time,6,None,Completed,8,57.95,13
4030,3.26,72,4,10,Moderate,Diploma,Cybersecurity,Hybrid,0.14,CS,Part-time,1,Basic,Completed,8,64.83,22
4031,2.18,67,6,10,Easy,Master,Cybersecurity,In-person,0.11,Business,Full-time,8,Advanced,Completed,18,72.28,22
4032,2.87,63,3,11,Hard,Bachelor,UI/UX Design,In-person,0.19,CS,Full-time,2,Advanced,Dropped,19,54.48,21
4033,2.86,65,5,20,Easy,Diploma,Healthcare Informatics,Hybrid,0.32,Finance,Part-time,1,None,Ongoing,9,86.04,19
4034,2.99,83,6,22,Hard,Bachelor,AI & Robotics,Hybrid,0.35,Design,Full-time,3,Advanced,Ongoing,18,87.41,22
4035,2.85,83,6,9,Easy,Bachelor,Software Engineering,Online,0.42,CS,Part-time,8,Advanced,Ongoing,8,55.32,19
4036,2.62,79,5,10,Easy,Bachelor,Healthcare Informatics,In-person,0.29,Finance,Part-time,3,None,Ongoing,18,71.92,13
4037,2.85,72,4,22,Moderate,Master,AI & Robotics,In-person,0.28,CS,Part-time,5,Intermediate,Dropped,7,88.66,5
4038,3.79,93,6,12,Easy,Diploma,UI/UX Design,Hybrid,0.09,Finance,Part-time,5,Intermediate,Completed,8,63.63,23
4039,3.89,67,5,12,Hard,Bachelor,Software Engineering,Hybrid,0.04,Finance,Full-time,5,Basic,Ongoing,16,91.76,17
4040,3.0,93,4,18,Hard,Bachelor,UI/UX Design,Hybrid,0.47,Finance,Full-time,3,Intermediate,Ongoing,7,55.94,5
4041,3.25,64,4,21,Hard,Diploma,Finance,Online,0.15,CS,Full-time,1,Basic,Ongoing,18,53.96,8
4042,2.23,75,5,10,Moderate,Bachelor,Cybersecurity,Online,0.15,Finance,Full-time,2,None,Completed,13,56.37,5
4043,2.63,75,3,7,Easy,Diploma,Healthcare Informatics,Online,0.49,Design,Part-time,7,None,Dropped,7,57.97,22
4044,2.83,73,3,5,Moderate,Bachelor,AI & Robotics,Hybrid,0.01,Business,Full-time,5,Intermediate,Dropped,8,60.79,15
4045,3.73,86,5,22,Hard,Bachelor,Software Engineering,In-person,0.46,CS,Part-time,1,Advanced,Ongoing,16,55.12,8
4046,2.5,90,5,21,Moderate,Bachelor,Healthcare Informatics,In-person,0.07,Design,Part-time,4,None,Completed,13,88.47,6
4047,2.97,73,3,23,Easy,Master,Healthcare Informatics,Online,0.26,Finance,Full-time,8,Basic,Completed,19,93.25,22
4048,3.97,90,6,18,Hard,Diploma,Healthcare Informatics,Online,0.04,CS,Full-time,9,None,Ongoing,18,58.76,6
4049,3.04,73,3,10,Hard,Master,Finance,In-person,0.01,Finance,Full-time,1,Intermediate,Ongoing,11,59.97,7
4050,3.23,83,3,6,Easy,Master,Finance,Hybrid,0.28,CS,Part-time,9,Basic,Completed,6,74.8,19
4051,2.24,94,5,10,Easy,Diploma,Healthcare Informatics,Online,0.24,CS,Full-time,2,None,Completed,17,71.51,22
4052,3.65,74,6,15,Easy,Diploma,Software Engineering,Hybrid,0.12,CS,Part-time,1,Intermediate,Ongoing,5,79.99,5
4053,3.21,79,3,23,Hard,Diploma,UI/UX Design,Hybrid,0.28,Finance,Part-time,1,Advanced,Ongoing,15,54.12,23
4054,3.09,87,4,7,Moderate,Diploma,UI/UX Design,Hybrid,0.4,Finance,Full-time,5,Basic,Dropped,6,71.36,24
4055,2.69,97,3,21,Moderate,Bachelor,UI/UX Design,In-person,0.34,Design,Full-time,2,Intermediate,Dropped,8,57.26,17
4056,2.61,86,5,23,Easy,Master,UI/UX Design,In-person,0.13,CS,Part-time,8,None,Ongoing,5,92.0,19
4057,2.83,60,3,13,Hard,Master,Finance,Hybrid,0.31,CS,Full-time,7,None,Completed,18,86.58,5
4058,3.36,71,6,17,Hard,Bachelor,Healthcare Informatics,In-person,0.13,Business,Full-time,1,Advanced,Ongoing,13,62.96,19
4059,3.75,98,5,15,Hard,Master,UI/UX Design,Hybrid,0.27,CS,Part-time,3,Intermediate,Completed,13,59.67,10
4060,3.02,86,5,7,Moderate,Master,Software Engineering,In-person,0.21,CS,Full-time,3,Advanced,Ongoing,18,78.88,24
4061,3.34,95,4,9,Moderate,Diploma,Finance,Hybrid,0.25,Business,Full-time,9,Intermediate,Ongoing,7,53.93,17
4062,3.17,90,4,21,Hard,Bachelor,UI/UX Design,In-person,0.27,Design,Part-time,4,Basic,Ongoing,14,52.48,14
4063,3.25,83,5,5,Hard,Bachelor,Healthcare Informatics,Online,0.15,Business,Part-time,3,None,Ongoing,17,60.45,11
4064,3.35,91,4,13,Hard,Bachelor,UI/UX Design,Online,0.23,Finance,Full-time,7,None,Completed,19,82.29,9
4065,3.68,79,4,20,Moderate,Bachelor,Software Engineering,Hybrid,0.43,Design,Part-time,1,Intermediate,Ongoing,19,68.23,17
4066,2.17,82,4,14,Moderate,Diploma,Finance,Hybrid,0.44,CS,Part-time,4,None,Dropped,13,63.36,12
4067,3.53,62,6,16,Hard,Master,Finance,Hybrid,0.07,Business,Full-time,2,Advanced,Dropped,7,73.12,17
4068,2.49,75,5,8,Moderate,Bachelor,Healthcare Informatics,Hybrid,0.34,Design,Full-time,1,Intermediate,Completed,16,81.37,13
4069,2.39,61,4,8,Hard,Diploma,Finance,Online,0.28,CS,Full-time,7,None,Dropped,19,74.28,24
4070,3.14,96,3,23,Moderate,Diploma,AI & Robotics,Online,0.34,Design,Part-time,3,Intermediate,Ongoing,8,90.36,21
4071,2.19,80,6,12,Hard,Master,Finance,Online,0.1,CS,Part-time,5,Intermediate,Completed,12,82.95,5
4072,3.77,62,3,23,Moderate,Master,Cybersecurity,Online,0.27,CS,Full-time,7,Basic,Dropped,7,92.06,23
4073,3.25,71,4,24,Moderate,Bachelor,Finance,Online,0.42,Design,Part-time,5,Advanced,Dropped,9,50.64,5
4074,3.45,87,3,7,Easy,Bachelor,Cybersecurity,Online,0.37,Business,Full-time,6,Advanced,Completed,11,90.59,7
4075,2.03,84,6,21,Hard,Master,Finance,Hybrid,0.48,Finance,Part-time,2,Basic,Completed,9,63.94,14
4076,3.19,75,5,17,Hard,Bachelor,Software Engineering,Online,0.43,CS,Part-time,7,Intermediate,Ongoing,19,85.21,23
4077,3.11,71,5,11,Easy,Master,Cybersecurity,Hybrid,0.39,Business,Part-time,2,Advanced,Ongoing,9,93.97,11
4078,2.32,80,4,17,Moderate,Master,AI & Robotics,In-person,0.4,Finance,Part-time,3,Intermediate,Ongoing,17,51.52,10
4079,2.31,81,5,11,Easy,Master,Finance,In-person,0.2,CS,Full-time,1,Intermediate,Ongoing,16,94.37,20
4080,3.39,78,4,12,Easy,Bachelor,Software Engineering,In-person,0.2,CS,Part-time,6,Basic,Dropped,16,76.67,20
4081,2.64,71,3,18,Hard,Bachelor,Finance,In-person,0.1,Business,Full-time,3,None,Completed,16,89.49,22
4082,3.38,71,6,20,Easy,Bachelor,Cybersecurity,Hybrid,0.45,Design,Part-time,3,Intermediate,Ongoing,8,79.11,17
4083,3.11,82,4,16,Moderate,Diploma,UI/UX Design,Online,0.28,Business,Part-time,4,None,Ongoing,9,79.24,20
4084,2.78,94,6,19,Hard,Master,Software Engineering,Online,0.49,CS,Part-time,7,Advanced,Dropped,8,56.67,11
4085,3.85,68,4,14,Easy,Diploma,Cybersecurity,Online,0.04,Finance,Full-time,6,Basic,Dropped,9,81.04,13
4086,3.68,80,5,23,Moderate,Master,AI & Robotics,Hybrid,0.41,Business,Part-time,8,Intermediate,Ongoing,15,82.48,14
4087,2.71,76,3,6,Easy,Master,AI & Robotics,Online,0.01,CS,Part-time,9,None,Dropped,15,54.35,7
4088,2.09,61,6,19,Moderate,Bachelor,Finance,Hybrid,0.35,Business,Full-time,7,Advanced,Dropped,11,53.9,23
4089,2.61,96,5,8,Easy,Bachelor,Software Engineering,In-person,0.14,Finance,Full-time,7,Intermediate,Ongoing,17,69.73,14
4090,2.8,70,5,8,Hard,Diploma,Healthcare Informatics,In-person,0.44,Design,Full-time,2,Intermediate,Ongoing,16,64.19,12
4091,3.41,80,3,17,Hard,Diploma,Software Engineering,Hybrid,0.23,Finance,Part-time,4,Advanced,Ongoing,11,88.17,22
4092,3.99,64,5,11,Moderate,Master,Cybersecurity,In-person,0.27,Design,Part-time,5,Intermediate,Dropped,5,79.58,20
4093,2.71,93,5,20,Hard,Bachelor,Cybersecurity,Hybrid,0.31,Business,Full-time,7,Basic,Dropped,13,57.97,15
4094,3.53,96,3,5,Moderate,Master,AI & Robotics,In-person,0.42,Business,Full-time,8,Advanced,Dropped,16,58.89,23
4095,3.19,91,3,5,Easy,Diploma,Software Engineering,Hybrid,0.41,Finance,Part-time,2,Basic,Completed,16,63.61,15
4096,3.38,69,6,6,Hard,Diploma,AI & Robotics,In-person,0.39,CS,Part-time,9,None,Completed,17,75.6,8
4097,2.3,98,4,18,Moderate,Bachelor,UI/UX Design,Hybrid,0.4,Design,Part-time,9,Advanced,Completed,5,72.61,16
4098,2.8,72,5,10,Hard,Diploma,Healthcare Informatics,Hybrid,0.31,Finance,Part-time,9,Basic,Dropped,9,71.54,9
4099,2.48,61,5,5,Easy,Bachelor,Software Engineering,In-person,0.05,Business,Part-time,5,Advanced,Completed,13,51.41,17
4100,2.69,82,6,17,Moderate,Bachelor,Healthcare Informatics,Hybrid,0.09,Design,Full-time,7,Advanced,Completed,18,74.38,15
4101,3.03,99,5,13,Hard,Diploma,Healthcare Informatics,In-person,0.34,CS,Full-time,2,Advanced,Completed,12,50.89,12
4102,3.33,62,5,5,Easy,Diploma,Healthcare Informatics,Online,0.1,CS,Part-time,5,Intermediate,Dropped,7,69.96,6
4103,2.21,80,3,13,Hard,Bachelor,Software Engineering,In-person,0.24,Design,Full-time,1,Advanced,Dropped,15,59.34,6
4104,2.26,69,5,10,Easy,Master,Healthcare Informatics,In-person,0.03,Design,Full-time,9,Advanced,Ongoing,18,63.72,7
4105,2.64,62,5,20,Hard,Diploma,Healthcare Informatics,Online,0.03,Business,Part-time,3,Advanced,Completed,14,79.36,5
4106,3.32,74,4,12,Hard,Master,Software Engineering,Online,0.03,Finance,Full-time,5,Intermediate,Dropped,19,67.83,13
4107,3.69,69,3,12,Moderate,Master,Healthcare Informatics,In-person,0.08,Finance,Part-time,1,Basic,Completed,15,76.58,20
4108,3.11,68,3,18,Easy,Master,AI & Robotics,Online,0.25,Business,Full-time,6,Intermediate,Ongoing,12,83.17,20
4109,3.71,75,4,19,Moderate,Bachelor,Healthcare Informatics,In-person,0.21,CS,Full-time,8,Intermediate,Completed,5,82.32,22
4110,2.77,83,5,15,Hard,Bachelor,UI/UX Design,In-person,0.38,Design,Full-time,2,Advanced,Ongoing,15,74.31,7
4111,2.63,79,5,17,Easy,Bachelor,Finance,Online,0.22,Finance,Part-time,4,Basic,Completed,16,89.08,15
4112,2.71,89,4,12,Hard,Diploma,Finance,Hybrid,0.3,Design,Part-time,5,Advanced,Dropped,14,90.04,5
4113,2.34,72,4,10,Moderate,Diploma,AI & Robotics,Hybrid,0.12,Business,Part-time,7,Basic,Dropped,7,80.17,12
4114,3.66,60,5,6,Easy,Bachelor,Cybersecurity,In-person,0.43,CS,Full-time,7,Intermediate,Ongoing,15,53.47,14
4115,2.68,63,6,17,Moderate,Bachelor,Software Engineering,Online,0.28,Design,Full-time,3,Advanced,Completed,7,55.04,6
4116,3.1,66,5,21,Hard,Master,Software Engineering,Online,0.43,Design,Full-time,2,None,Completed,18,77.49,23
4117,3.16,95,5,16,Moderate,Master,Cybersecurity,Hybrid,0.12,Finance,Full-time,4,Basic,Completed,8,60.47,8
4118,3.04,80,6,15,Hard,Bachelor,Healthcare Informatics,Hybrid,0.49,Design,Full-time,1,Intermediate,Ongoing,5,92.89,9
4119,2.01,89,3,10,Easy,Bachelor,Software Engineering,In-person,0.13,Design,Full-time,8,Advanced,Completed,17,60.43,21
4120,3.98,98,6,22,Easy,Bachelor,Healthcare Informatics,In-person,0.33,Business,Full-time,1,Intermediate,Ongoing,13,72.66,11
4121,3.81,86,6,14,Easy,Master,Cybersecurity,In-person,0.08,CS,Full-time,5,Intermediate,Ongoing,19,53.48,14
4122,2.42,85,6,6,Moderate,Bachelor,Finance,Online,0.03,Finance,Full-time,9,Advanced,Completed,11,77.28,9
4123,2.58,78,4,11,Moderate,Bachelor,Healthcare Informatics,Hybrid,0.32,Design,Part-time,5,None,Dropped,12,84.25,19
4124,3.04,73,5,5,Moderate,Bachelor,AI & Robotics,In-person,0.43,Finance,Part-time,4,Basic,Ongoing,6,81.46,9
4125,3.8,99,3,15,Easy,Master,Cybersecurity,Online,0.04,Finance,Full-time,6,Advanced,Ongoing,8,67.8,7
4126,3.97,90,3,12,Hard,Bachelor,Cybersecurity,In-person,0.27,Business,Full-time,2,None,Completed,5,65.59,24
4127,2.52,66,3,24,Easy,Diploma,AI & Robotics,Online,0.43,Design,Full-time,1,Advanced,Dropped,13,62.04,7
4128,3.13,92,6,17,Hard,Diploma,Healthcare Informatics,Hybrid,0.36,Design,Full-time,2,None,Dropped,13,63.23,13
4129,3.61,68,5,6,Moderate,Master,Cybersecurity,In-person,0.3,Business,Part-time,5,Intermediate,Dropped,16,84.97,8
4130,2.79,61,4,19,Easy,Master,Finance,In-person,0.33,Business,Part-time,8,Advanced,Completed,7,84.66,11
4131,3.46,95,4,13,Easy,Master,Cybersecurity,Hybrid,0.34,CS,Full-time,3,Advanced,Dropped,19,85.41,10
4132,2.32,66,5,16,Easy,Master,Healthcare Informatics,Online,0.46,Finance,Full-time,5,Intermediate,Dropped,7,92.29,22
4133,3.2,64,4,6,Easy,Diploma,Cybersecurity,Hybrid,0.13,Business,Full-time,8,None,Completed,8,76.15,7
4134,3.73,81,6,9,Easy,Master,AI & Robotics,Hybrid,0.41,Business,Full-time,9,Intermediate,Ongoing,15,57.09,21
4135,3.97,93,3,15,Easy,Bachelor,UI/UX Design,In-person,0.36,Design,Full-time,3,Advanced,Dropped,19,61.74,14
4136,2.16,75,5,20,Moderate,Master,UI/UX Design,In-person,0.1,CS,Part-time,7,Advanced,Dropped,7,69.84,24
4137,2.86,73,5,11,Moderate,Diploma,AI & Robotics,In-person,0.4,Design,Full-time,1,Advanced,Completed,10,50.26,17
4138,2.41,68,3,7,Moderate,Master,UI/UX Design,Online,0.1,Design,Part-time,2,Advanced,Completed,6,66.1,9
4139,2.9,65,4,21,Easy,Master,UI/UX Design,Hybrid,0.06,Design,Part-time,4,Intermediate,Completed,5,69.46,5
4140,3.1,96,5,9,Moderate,Diploma,Healthcare Informatics,Online,0.27,Business,Part-time,3,Advanced,Completed,16,52.87,23
4141,2.19,61,5,11,Hard,Bachelor,Healthcare Informatics,Hybrid,0.0,Finance,Full-time,5,Advanced,Ongoing,18,85.91,24
4142,2.59,96,3,10,Moderate,Diploma,AI & Robotics,In-person,0.44,Design,Full-time,9,Intermediate,Completed,7,80.58,15
4143,3.86,78,3,21,Hard,Diploma,AI & Robotics,Online,0.16,CS,Full-time,4,Intermediate,Completed,14,82.69,18
4144,3.14,76,4,21,Hard,Diploma,Cybersecurity,In-person,0.22,CS,Full-time,9,None,Dropped,7,53.61,16
4145,2.91,60,4,16,Moderate,Diploma,AI & Robotics,In-person,0.15,Design,Part-time,4,Intermediate,Dropped,10,75.0,11
4146,3.51,63,6,11,Moderate,Bachelor,AI & Robotics,Hybrid,0.41,Business,Part-time,5,Intermediate,Dropped,7,73.51,5
4147,3.48,96,4,22,Hard,Diploma,Healthcare Informatics,Online,0.21,Finance,Full-time,4,Basic,Dropped,18,75.02,17
4148,2.1,89,4,24,Hard,Master,Software Engineering,In-person,0.34,CS,Part-time,1,Basic,Completed,6,76.95,8
4149,3.42,89,3,7,Hard,Diploma,Cybersecurity,Online,0.09,Business,Part-time,3,None,Ongoing,19,61.43,16
4150,3.68,88,6,15,Hard,Bachelor,AI & Robotics,Online,0.03,Business,Part-time,2,None,Ongoing,13,83.15,11
4151,2.33,80,6,19,Easy,Master,Healthcare Informatics,Hybrid,0.29,CS,Full-time,6,Advanced,Completed,10,70.72,17
4152,3.56,62,5,24,Easy,Diploma,AI & Robotics,In-person,0.27,Design,Full-time,7,Intermediate,Dropped,6,58.98,21
4153,2.57,84,3,23,Easy,Diploma,Cybersecurity,Hybrid,0.32,Design,Part-time,4,Basic,Completed,13,79.27,15
4154,2.61,62,5,23,Hard,Bachelor,Cybersecurity,Hybrid,0.4,Business,Part-time,7,Basic,Ongoing,10,65.1,23
4155,3.33,70,4,18,Hard,Bachelor,Cybersecurity,Online,0.19,Finance,Full-time,8,Advanced,Dropped,14,65.8,13
4156,2.22,98,5,23,Easy,Bachelor,AI & Robotics,Online,0.43,CS,Part-time,2,Basic,Ongoing,8,61.32,24
4157,3.33,96,4,5,Moderate,Bachelor,AI & Robotics,In-person,0.03,Business,Full-time,9,Advanced,Ongoing,10,73.69,15
4158,3.78,80,4,22,Moderate,Diploma,Finance,Hybrid,0.07,Design,Full-time,9,Basic,Dropped,10,71.92,18
4159,3.39,73,6,8,Moderate,Master,Cybersecurity,Online,0.26,Business,Part-time,8,Intermediate,Dropped,14,69.23,8
4160,2.88,98,6,22,Easy,Master,Finance,In-person,0.26,Design,Full-time,9,Intermediate,Ongoing,10,68.13,11
4161,2.88,90,3,12,Hard,Bachelor,Software Engineering,In-person,0.23,Design,Full-time,6,None,Ongoing,11,58.13,14
4162,3.53,99,3,12,Moderate,Bachelor,Finance,In-person,0.07,Business,Full-time,1,Basic,Dropped,9,72.11,24
4163,3.13,86,5,5,Hard,Bachelor,Cybersecurity,In-person,0.33,CS,Part-time,8,Basic,Completed,5,65.46,8
4164,2.17,76,5,15,Moderate,Master,Cybersecurity,Online,0.19,Finance,Part-time,8,Advanced,Completed,18,76.38,15
4165,3.17,83,4,9,Easy,Master,Cybersecurity,Online,0.14,Finance,Part-time,7,Basic,Dropped,9,50.29,22
4166,3.63,94,4,22,Hard,Diploma,Cybersecurity,Online,0.09,CS,Part-time,8,Basic,Completed,5,56.32,22
4167,2.67,78,6,13,Moderate,Bachelor,Healthcare Informatics,Online,0.45,Finance,Full-time,5,None,Dropped,10,72.67,8
4168,3.86,93,5,6,Moderate,Bachelor,AI & Robotics,Online,0.4,CS,Part-time,4,Advanced,Completed,6,72.13,6
4169,3.5,62,3,11,Hard,Diploma,UI/UX Design,Hybrid,0.08,Design,Full-time,1,None,Ongoing,5,63.54,15
4170,3.15,77,3,22,Hard,Master,Healthcare Informatics,Online,0.01,Business,Part-time,7,Advanced,Dropped,13,69.37,7
4171,3.5,90,6,6,Hard,Diploma,AI & Robotics,Hybrid,0.06,CS,Part-time,9,None,Completed,6,73.95,9
4172,2.16,74,4,5,Hard,Bachelor,Healthcare Informatics,Hybrid,0.06,Design,Part-time,8,None,Ongoing,11,68.42,16
4173,3.72,85,3,15,Moderate,Master,Cybersecurity,Hybrid,0.38,CS,Full-time,9,Advanced,Ongoing,6,72.5,8
4174,3.64,76,5,17,Easy,Diploma,Software Engineering,Online,0.2,Business,Part-time,1,Advanced,Ongoing,19,59.2,17
4175,3.82,72,5,5,Hard,Master,AI & Robotics,Online,0.18,Design,Part-time,5,Advanced,Completed,16,85.4,16
4176,2.26,77,4,13,Easy,Bachelor,Cybersecurity,Hybrid,0.22,Finance,Part-time,3,Intermediate,Dropped,7,58.49,18
4177,2.16,71,6,22,Easy,Bachelor,AI & Robotics,Online,0.37,Finance,Part-time,8,Advanced,Completed,18,72.09,22
4178,2.28,81,3,23,Moderate,Bachelor,AI & Robotics,Online,0.33,Finance,Full-time,5,Intermediate,Ongoing,12,80.3,23
4179,2.8,96,4,19,Moderate,Master,UI/UX Design,Online,0.36,Design,Full-time,1,None,Dropped,11,83.31,16
4180,2.85,70,5,13,Hard,Bachelor,Software Engineering,Hybrid,0.3,Finance,Full-time,6,None,Dropped,16,67.0,21
4181,3.12,72,3,10,Easy,Diploma,Healthcare Informatics,Hybrid,0.15,Business,Part-time,1,Basic,Dropped,14,80.27,6
4182,2.24,95,4,7,Hard,Diploma,UI/UX Design,Online,0.15,Finance,Full-time,2,Advanced,Dropped,13,72.8,10
4183,2.4,84,6,24,Moderate,Master,Cybersecurity,In-person,0.14,Finance,Part-time,1,Intermediate,Ongoing,19,72.56,15
4184,3.62,78,5,14,Easy,Master,UI/UX Design,In-person,0.47,CS,Part-time,1,Advanced,Completed,16,59.2,22
4185,2.94,60,3,23,Easy,Master,AI & Robotics,Online,0.06,Design,Full-time,7,Intermediate,Dropped,8,54.07,20
4186,3.62,73,6,13,Moderate,Bachelor,Software Engineering,Online,0.14,CS,Part-time,4,Advanced,Completed,5,54.77,9
4187,2.01,61,3,23,Moderate,Bachelor,Finance,Hybrid,0.41,Business,Part-time,2,Advanced,Dropped,18,58.42,14
4188,3.1,64,3,21,Moderate,Diploma,Healthcare Informatics,Online,0.49,CS,Part-time,5,None,Dropped,18,71.37,19
4189,3.86,66,3,17,Moderate,Master,UI/UX Design,Hybrid,0.11,CS,Full-time,2,Intermediate,Dropped,6,59.56,9
4190,3.16,86,3,23,Moderate,Bachelor,UI/UX Design,Online,0.49,Design,Full-time,9,Basic,Completed,18,59.35,12
4191,2.41,90,4,7,Moderate,Bachelor,AI & Robotics,Online,0.37,CS,Full-time,1,Advanced,Completed,11,65.78,21
4192,3.44,75,6,13,Easy,Bachelor,Healthcare Informatics,Hybrid,0.19,Design,Part-time,8,Advanced,Completed,14,83.52,16
4193,2.76,83,6,7,Easy,Diploma,Finance,In-person,0.17,Finance,Part-time,4,Advanced,Completed,14,88.67,16
4194,3.34,92,3,16,Easy,Bachelor,UI/UX Design,Hybrid,0.43,CS,Full-time,5,Advanced,Completed,16,61.61,13
4195,2.06,93,5,7,Hard,Diploma,AI & Robotics,Hybrid,0.14,Finance,Part-time,8,Intermediate,Completed,15,50.62,7
4196,3.27,65,4,24,Hard,Master,UI/UX Design,Online,0.16,Design,Part-time,5,Advanced,Dropped,14,70.69,23
4197,2.06,62,4,11,Easy,Bachelor,AI & Robotics,In-person,0.01,Business,Full-time,1,Advanced,Ongoing,16,62.44,11
4198,3.49,93,6,19,Moderate,Bachelor,AI & Robotics,In-person,0.25,Business,Part-time,5,Advanced,Completed,11,70.59,12
4199,2.95,70,5,8,Easy,Diploma,Software Engineering,Hybrid,0.11,Finance,Full-time,5,Intermediate,Completed,11,71.06,5
4200,2.24,80,5,13,Hard,Diploma,UI/UX Design,In-person,0.5,CS,Full-time,9,None,Completed,12,87.74,12
4201,3.09,98,5,23,Hard,Diploma,Healthcare Informatics,Online,0.08,Finance,Full-time,9,Intermediate,Completed,7,52.0,22
4202,2.13,83,6,14,Hard,Bachelor,UI/UX Design,Online,0.44,CS,Part-time,4,Intermediate,Completed,9,94.92,9
4203,3.31,61,6,13,Hard,Bachelor,AI & Robotics,Online,0.07,Design,Full-time,6,Intermediate,Ongoing,14,54.06,11
4204,3.99,95,3,8,Moderate,Master,Healthcare Informatics,Hybrid,0.2,Finance,Part-time,2,Basic,Ongoing,7,86.42,9
4205,3.54,89,6,15,Easy,Bachelor,UI/UX Design,Hybrid,0.31,Finance,Full-time,3,None,Dropped,16,82.6,10
4206,3.15,86,5,22,Moderate,Diploma,Cybersecurity,Hybrid,0.46,Design,Part-time,6,None,Dropped,18,59.4,18
4207,2.21,66,3,9,Hard,Master,Cybersecurity,Online,0.45,Business,Part-time,1,Basic,Dropped,15,63.85,24
4208,3.4,60,4,7,Hard,Diploma,Healthcare Informatics,In-person,0.1,Design,Full-time,7,Intermediate,Dropped,13,92.87,15
4209,3.32,99,3,23,Easy,Bachelor,Finance,Online,0.09,CS,Full-time,1,Basic,Dropped,6,74.95,18
