student_id,enrollment_status,major,gpa,attendance,,final grade,course_load_per_term,study_hours_per_week,course_difficulty_experience,highest_degree,certifications,education_background,career_goal,preferred_industry,success,job_growth_outlook
1081,Full-time,Computer Science,2.98,81,,B,4,14,Moderate,High School,"First Aid, Excel for Business",Non-STEM,Software Developer,Computer Science,0,
1082,Full-time,Engineering,3.99,85,,A,4,11,Hard,Bachelor's Degree,"AutoCAD, First Aid",Non-STEM,Mechanical Engineer,Engineering,0,
1083,Part-time,Business,2.97,83,,B,3,13,Easy,Master's Degree,Excel for Business,STEM,Marketing Manager,Business,1,Stable
1084,Part-time,Healthcare,2.69,91,,C+,6,16,Moderate,High School,"Python Basics, First Aid",Non-STEM,Registered Nurse,Healthcare,0,
1085,Full-time,Business,3.14,83,,A,3,19,Easy,Master's Degree,"Leadership Skills, Excel for Business",STEM,Marketing Manager,Business,1,Stable
1086,Full-time,Engineering,3.16,86,,B,3,16,Easy,High School,"First Aid, Python Basics",Non-STEM,Mechanical Engineer,Engineering,1,Stable
1087,Part-time,Engineering,2.84,88,,A,4,7,Moderate,High School,Python Basics,STEM,Mechanical Engineer,Engineering,0,
1088,Full-time,Engineering,3.45,92,,B,3,11,Moderate,High School,"Leadership Skills, Excel for Business",STEM,Mechanical Engineer,Engineering,0,
1089,Full-time,Computer Science,2.41,92,,A,6,6,Easy,High School,First Aid,Non-STEM,Software Developer,Computer Science,1,Growing
1090,Part-time,Healthcare,2.66,90,,A,3,18,Hard,Master's Degree,First Aid,STEM,Registered Nurse,Healthcare,0,
1091,Part-time,Healthcare,3.16,71,,B+,3,13,Hard,High School,Leadership Skills,Non-STEM,Registered Nurse,Healthcare,0,
1092,Part-time,Engineering,2.78,98,,A,3,9,Hard,Master's Degree,AutoCAD,STEM,Mechanical Engineer,Engineering,0,
1093,Part-time,Business,2.22,77,,A,3,17,Moderate,High School,Excel for Business,STEM,Marketing Manager,Business,1,Stable
1094,Full-time,Business,3.44,83,,C+,4,10,Moderate,Master's Degree,AutoCAD,STEM,Marketing Manager,Business,1,Stable
1095,Part-time,Business,3.91,73,,A,4,8,Moderate,Bachelor's Degree,Excel for Business,STEM,Marketing Manager,Business,1,Stable
1096,Part-time,Healthcare,2.77,76,,A,3,20,Hard,Bachelor's Degree,AutoCAD,Non-STEM,Registered Nurse,Healthcare,0,
1097,Full-time,Computer Science,2.22,82,,C+,4,9,Moderate,Master's Degree,AutoCAD,Non-STEM,Software Developer,Computer Science,0,
1098,Full-time,Engineering,3.06,79,,C+,3,14,Hard,Bachelor's Degree,Leadership Skills,Non-STEM,Mechanical Engineer,Engineering,1,Stable
1099,Full-time,Computer Science,3.72,89,,B,3,14,Hard,High School,"AutoCAD, First Aid",Non-STEM,Software Developer,Computer Science,1,Growing
1100,Part-time,Business,2.72,90,,A,3,14,Moderate,Master's Degree,"AutoCAD, Excel for Business",Non-STEM,Marketing Manager,Business,1,Stable
1101,Full-time,Computer Science,3.4,71,,B,4,12,Moderate,Master's Degree,AutoCAD,STEM,Software Developer,Computer Science,1,Growing
1102,Full-time,Computer Science,3.67,85,,C+,5,18,Hard,High School,Leadership Skills,Non-STEM,Software Developer,Computer Science,1,Growing
1103,Full-time,Engineering,2.17,85,,B,5,18,Hard,Master's Degree,"AutoCAD, Excel for Business",STEM,Mechanical Engineer,Engineering,1,Stable
1104,Full-time,Engineering,3.01,82,,C+,5,6,Easy,Master's Degree,"Python Basics, First Aid",Non-STEM,Mechanical Engineer,Engineering,1,Stable
1105,Full-time,Engineering,3.05,87,,B+,5,8,Moderate,Bachelor's Degree,"Excel for Business, First Aid",Non-STEM,Mechanical Engineer,Engineering,0,
1106,Part-time,Healthcare,2.21,91,,B,5,9,Easy,High School,First Aid,Non-STEM,Registered Nurse,Healthcare,0,
1107,Part-time,Business,3.68,87,,B+,5,6,Moderate,Master's Degree,AutoCAD,STEM,Marketing Manager,Business,0,
1108,Full-time,Engineering,3.8,98,,A,6,10,Easy,High School,"AutoCAD, First Aid",STEM,Mechanical Engineer,Engineering,1,Stable
1109,Full-time,Business,3.81,96,,B,3,17,Easy,High School,Python Basics,STEM,Marketing Manager,Business,1,Stable
1110,Part-time,Healthcare,2.83,74,,B+,6,16,Moderate,High School,Excel for Business,Non-STEM,Registered Nurse,Healthcare,1,Growing
1111,Part-time,Engineering,2.06,92,,C+,3,12,Moderate,High School,AutoCAD,STEM,Mechanical Engineer,Engineering,1,Stable
1112,Full-time,Healthcare,3.48,80,,C+,5,10,Easy,Master's Degree,AutoCAD,STEM,Registered Nurse,Healthcare,0,
1113,Full-time,Engineering,2.82,76,,B+,3,9,Easy,High School,First Aid,Non-STEM,Mechanical Engineer,Engineering,0,
1114,Full-time,Business,3.36,93,,C+,5,17,Hard,High School,Leadership Skills,Non-STEM,Marketing Manager,Business,0,
1115,Full-time,Computer Science,3.39,92,,A,3,17,Moderate,Master's Degree,"Leadership Skills, First Aid",STEM,Software Developer,Computer Science,0,
1116,Part-time,Healthcare,2.06,92,,C+,3,16,Moderate,High School,"AutoCAD, Excel for Business",Non-STEM,Registered Nurse,Healthcare,0,
1117,Full-time,Healthcare,3.55,70,,A,3,12,Moderate,Master's Degree,Leadership Skills,Non-STEM,Registered Nurse,Healthcare,1,Growing
1118,Full-time,Business,2.93,74,,A,4,11,Hard,Bachelor's Degree,"Leadership Skills, AutoCAD",Non-STEM,Marketing Manager,Business,0,
1119,Part-time,Computer Science,2.42,82,,C+,4,19,Moderate,Bachelor's Degree,First Aid,Non-STEM,Software Developer,Computer Science,1,Growing
1120,Part-time,Healthcare,3.83,88,,B,4,14,Moderate,High School,First Aid,Non-STEM,Registered Nurse,Healthcare,0,
1121,Full-time,Business,3.54,99,,A,6,14,Easy,Master's Degree,"Leadership Skills, AutoCAD",Non-STEM,Marketing Manager,Business,0,
1122,Full-time,Engineering,3.38,76,,A,5,13,Hard,Bachelor's Degree,First Aid,STEM,Mechanical Engineer,Engineering,0,
1123,Full-time,Healthcare,3.61,92,,C+,5,17,Easy,Master's Degree,"Leadership Skills, First Aid",STEM,Registered Nurse,Healthcare,0,
1124,Part-time,Engineering,3.05,70,,A,4,15,Hard,High School,"Python Basics, First Aid",Non-STEM,Mechanical Engineer,Engineering,0,
1125,Full-time,Healthcare,3.51,72,,A,6,13,Easy,Master's Degree,Excel for Business,Non-STEM,Registered Nurse,Healthcare,1,Growing
1126,Part-time,Business,3.63,79,,B,5,8,Moderate,High School,AutoCAD,Non-STEM,Marketing Manager,Business,1,Stable
1127,Part-time,Computer Science,2.74,75,,C+,5,8,Hard,High School,"Leadership Skills, Python Basics",Non-STEM,Software Developer,Computer Science,1,Growing
1128,Part-time,Healthcare,3.33,76,,A,6,9,Moderate,Bachelor's Degree,"Excel for Business, First Aid",Non-STEM,Registered Nurse,Healthcare,1,Growing
1129,Part-time,Computer Science,3.5,95,,B,3,13,Moderate,Master's Degree,Python Basics,Non-STEM,Software Developer,Computer Science,0,
1130,Full-time,Computer Science,2.41,85,,B,5,7,Easy,Master's Degree,Leadership Skills,Non-STEM,Software Developer,Computer Science,1,Growing
1131,Full-time,Healthcare,2.89,96,,C+,4,17,Moderate,High School,"Excel for Business, First Aid",Non-STEM,Registered Nurse,Healthcare,0,
1132,Full-time,Business,3.54,91,,A,6,19,Moderate,Bachelor's Degree,Leadership Skills,STEM,Marketing Manager,Business,0,
1133,Full-time,Healthcare,2.61,85,,C+,6,18,Hard,Master's Degree,First Aid,Non-STEM,Registered Nurse,Healthcare,1,Growing
1134,Part-time,Healthcare,3.1,80,,C+,3,12,Hard,Master's Degree,"AutoCAD, Python Basics",Non-STEM,Registered Nurse,Healthcare,1,Growing
1135,Full-time,Business,2.9,86,,B,5,20,Moderate,Bachelor's Degree,AutoCAD,STEM,Marketing Manager,Business,0,
1136,Part-time,Healthcare,2.52,100,,A,5,11,Easy,High School,"First Aid, Excel for Business",Non-STEM,Registered Nurse,Healthcare,1,Growing
1137,Full-time,Engineering,2.13,88,,A,5,17,Hard,Master's Degree,"AutoCAD, First Aid",STEM,Mechanical Engineer,Engineering,0,
1138,Part-time,Computer Science,2.01,98,,A,4,20,Moderate,Bachelor's Degree,Leadership Skills,Non-STEM,Software Developer,Computer Science,0,
1139,Full-time,Business,2.93,95,,A,5,11,Easy,Bachelor's Degree,"Leadership Skills, Python Basics",STEM,Marketing Manager,Business,1,Stable
1140,Full-time,Computer Science,3.34,98,,B,5,16,Hard,High School,Leadership Skills,Non-STEM,Software Developer,Computer Science,0,
1141,Full-time,Computer Science,3.11,76,,B,3,9,Moderate,High School,"Excel for Business, Leadership Skills",STEM,Software Developer,Computer Science,1,Growing
1142,Part-time,Healthcare,3.92,75,,B,6,14,Hard,High School,Excel for Business,Non-STEM,Registered Nurse,Healthcare,0,
1143,Full-time,Computer Science,3.11,89,,B+,6,10,Hard,Bachelor's Degree,Python Basics,Non-STEM,Software Developer,Computer Science,1,Growing
1144,Part-time,Healthcare,2.16,77,,B+,3,7,Moderate,Bachelor's Degree,"Leadership Skills, AutoCAD",STEM,Registered Nurse,Healthcare,0,
1145,Part-time,Computer Science,3.37,100,,B,3,13,Moderate,Master's Degree,"Excel for Business, Python Basics",Non-STEM,Software Developer,Computer Science,1,Growing
1146,Part-time,Healthcare,3.37,77,,A,3,15,Easy,Bachelor's Degree,Leadership Skills,Non-STEM,Registered Nurse,Healthcare,0,
1147,Full-time,Business,3.27,98,,A,3,9,Moderate,Master's Degree,"Excel for Business, First Aid",Non-STEM,Marketing Manager,Business,0,
1148,Full-time,Computer Science,3.99,81,,B,6,6,Hard,Bachelor's Degree,Excel for Business,STEM,Software Developer,Computer Science,1,Growing
1149,Full-time,Engineering,2.12,91,,B+,4,12,Moderate,Master's Degree,"AutoCAD, Excel for Business",Non-STEM,Mechanical Engineer,Engineering,0,
1150,Full-time,Computer Science,2.95,78,,B,4,18,Hard,Bachelor's Degree,"Excel for Business, Python Basics",Non-STEM,Software Developer,Computer Science,1,Growing
1151,Part-time,Business,2.8,94,,A,5,12,Easy,Bachelor's Degree,Leadership Skills,STEM,Marketing Manager,Business,0,
1152,Full-time,Business,3.59,86,,B,6,11,Moderate,Master's Degree,"First Aid, AutoCAD",STEM,Marketing Manager,Business,1,Stable
1153,Part-time,Engineering,2.32,92,,A,4,6,Hard,Master's Degree,"Leadership Skills, First Aid",STEM,Mechanical Engineer,Engineering,0,
1154,Full-time,Healthcare,3.05,87,,B,3,12,Moderate,Bachelor's Degree,Leadership Skills,Non-STEM,Registered Nurse,Healthcare,0,
1155,Part-time,Computer Science,2.02,99,,B+,4,17,Hard,Master's Degree,First Aid,STEM,Software Developer,Computer Science,1,Growing
1156,Full-time,Engineering,2.35,77,,C+,4,9,Hard,High School,Leadership Skills,Non-STEM,Mechanical Engineer,Engineering,0,
1157,Full-time,Engineering,2.28,71,,A,3,17,Hard,Master's Degree,First Aid,Non-STEM,Mechanical Engineer,Engineering,1,Stable
1158,Full-time,Engineering,2.24,78,,C+,5,6,Easy,Bachelor's Degree,Python Basics,Non-STEM,Mechanical Engineer,Engineering,1,Stable
1159,Full-time,Business,3.01,79,,B+,5,7,Moderate,High School,AutoCAD,Non-STEM,Marketing Manager,Business,0,
1160,Part-time,Healthcare,2.65,79,,C+,6,11,Easy,Bachelor's Degree,"AutoCAD, First Aid",Non-STEM,Registered Nurse,Healthcare,0,
1161,Full-time,Business,2.59,87,,A,5,17,Easy,High School,First Aid,Non-STEM,Marketing Manager,Business,0,
1162,Part-time,Computer Science,3.97,91,,B,5,11,Hard,High School,"AutoCAD, First Aid",STEM,Software Developer,Computer Science,1,Growing
1163,Full-time,Computer Science,3.06,95,,B+,5,18,Hard,Bachelor's Degree,Leadership Skills,Non-STEM,Software Developer,Computer Science,0,
1164,Part-time,Business,3.67,84,,B+,5,18,Moderate,Master's Degree,"First Aid, Excel for Business",Non-STEM,Marketing Manager,Business,1,Stable
1165,Full-time,Engineering,3.23,79,,B,6,10,Moderate,Master's Degree,First Aid,STEM,Mechanical Engineer,Engineering,0,
1166,Part-time,Computer Science,2.39,87,,A,6,13,Easy,High School,"Leadership Skills, AutoCAD",STEM,Software Developer,Computer Science,1,Growing
1167,Full-time,Engineering,2.66,89,,B+,5,6,Hard,Master's Degree,"Excel for Business, Leadership Skills",STEM,Mechanical Engineer,Engineering,1,Stable
1168,Full-time,Engineering,3.19,98,,B+,6,9,Hard,High School,Leadership Skills,Non-STEM,Mechanical Engineer,Engineering,0,
1169,Full-time,Engineering,2.03,85,,B+,3,12,Easy,Bachelor's Degree,Excel for Business,Non-STEM,Mechanical Engineer,Engineering,1,Stable
1170,Part-time,Healthcare,3.02,88,,B,3,18,Moderate,Master's Degree,"First Aid, Python Basics",STEM,Registered Nurse,Healthcare,0,
1171,Part-time,Business,3.96,76,,A,4,8,Easy,Master's Degree,"Excel for Business, AutoCAD",STEM,Marketing Manager,Business,0,
1172,Full-time,Business,2.78,98,,B,3,11,Easy,Master's Degree,First Aid,STEM,Marketing Manager,Business,0,
1173,Part-time,Engineering,2.57,72,,C+,3,6,Hard,Bachelor's Degree,"Leadership Skills, First Aid",STEM,Mechanical Engineer,Engineering,1,Stable
1174,Part-time,Healthcare,3.17,97,,C+,4,20,Hard,Master's Degree,"Python Basics, Excel for Business",STEM,Registered Nurse,Healthcare,1,Growing
1175,Part-time,Computer Science,2.28,78,,B+,4,10,Hard,Bachelor's Degree,Excel for Business,Non-STEM,Software Developer,Computer Science,0,
1176,Part-time,Business,4,92,,B,4,13,Easy,High School,Leadership Skills,Non-STEM,Marketing Manager,Business,0,
1177,Part-time,Healthcare,2.25,89,,B+,3,6,Easy,High School,"Python Basics, AutoCAD",STEM,Registered Nurse,Healthcare,1,Growing
1178,Full-time,Computer Science,3.32,81,,A,4,19,Hard,High School,"First Aid, AutoCAD",Non-STEM,Software Developer,Computer Science,0,
1179,Full-time,Computer Science,2.29,99,,C+,3,14,Moderate,High School,Excel for Business,Non-STEM,Software Developer,Computer Science,0,
1180,Full-time,Healthcare,2.78,84,,B+,5,11,Moderate,High School,AutoCAD,Non-STEM,Registered Nurse,Healthcare,0,
1181,Full-time,Healthcare,3.73,95,,C+,3,14,Moderate,Master's Degree,Python Basics,Non-STEM,Registered Nurse,Healthcare,1,Growing
1182,Full-time,Computer Science,3.53,81,,C+,6,16,Moderate,Bachelor's Degree,Excel for Business,STEM,Software Developer,Computer Science,0,
1183,Full-time,Engineering,2.94,78,,C+,6,18,Easy,Master's Degree,Excel for Business,Non-STEM,Mechanical Engineer,Engineering,0,
1184,Part-time,Engineering,3.93,73,,B,4,15,Moderate,High School,Python Basics,Non-STEM,Mechanical Engineer,Engineering,1,Stable
1185,Full-time,Healthcare,2.4,73,,B+,3,16,Easy,Master's Degree,"Excel for Business, Leadership Skills",STEM,Registered Nurse,Healthcare,1,Growing
1186,Part-time,Computer Science,2.16,86,,B,6,6,Easy,Bachelor's Degree,First Aid,STEM,Software Developer,Computer Science,0,
1187,Full-time,Business,3.47,95,,C+,5,11,Hard,Bachelor's Degree,Python Basics,Non-STEM,Marketing Manager,Business,0,
1188,Full-time,Business,3.65,78,,C+,3,19,Moderate,Master's Degree,"Excel for Business, Python Basics",STEM,Marketing Manager,Business,0,
1189,Part-time,Healthcare,2.69,97,,B,3,13,Hard,High School,"Python Basics, First Aid",STEM,Registered Nurse,Healthcare,1,Growing
1190,Part-time,Engineering,2.85,73,,B+,5,13,Hard,Master's Degree,AutoCAD,Non-STEM,Mechanical Engineer,Engineering,0,
1191,Full-time,Business,2.48,84,,B,6,16,Easy,Master's Degree,"AutoCAD, First Aid",STEM,Marketing Manager,Business,0,
1192,Part-time,Business,3.82,71,,A,5,10,Moderate,High School,Leadership Skills,Non-STEM,Marketing Manager,Business,0,
1193,Part-time,Business,3.81,85,,A,3,9,Hard,Master's Degree,"First Aid, AutoCAD",STEM,Marketing Manager,Business,1,Stable
1194,Full-time,Computer Science,3.5,82,,B,4,13,Easy,Master's Degree,"Leadership Skills, Excel for Business",Non-STEM,Software Developer,Computer Science,1,Growing
1195,Part-time,Business,3.16,72,,B,4,13,Hard,Master's Degree,Excel for Business,STEM,Marketing Manager,Business,1,Stable
